,params,mle,N,p_transition,offset,kappa
229,4.6_9.0_0.9_2.0_10.0,-13813.005192307694,4.6,0.9,9.0,2.0
230,3.4_9.0_0.7_2.6_10.0,-13692.474096153846,3.4,0.7,9.0,2.6
231,4.2_16.0_0.7_1.4_10.0,-13700.368423076925,4.2,0.7,16.0,1.4
232,4.2_10.0_0.5_2.2_10.0,-13754.332865384613,4.2,0.5,10.0,2.2
233,3.6_11.0_0.7_2.2_10.0,-13673.74042307692,3.6,0.7,11.0,2.2
234,4.0_14.5_1.4_2.0_10.0,-13709.40244230769,4.0,1.4,14.5,2.0
235,4.8_11.5_1.3_1.6_10.0,-13719.578384615384,4.8,1.3,11.5,1.6
236,4.8_17.5_1.1_2.0_10.0,-13695.231365384614,4.8,1.1,17.5,2.0
237,3.8_9.5_0.6_2.6_10.0,-13718.160692307692,3.8,0.6,9.5,2.6
238,3.8_12.5_0.9_1.8_10.0,-13670.026230769232,3.8,0.9,12.5,1.8
239,3.8_13.5_0.6_2.7_10.0,-13682.54892307692,3.8,0.6,13.5,2.7
240,4.6_15.0_1.0_2.5_10.0,-13677.288576923076,4.6,1.0,15.0,2.5
241,4.2_9.0_1.0_2.0_10.0,-13752.429326923078,4.2,1.0,9.0,2.0
242,4.4_15.0_0.8_2.5_10.0,-13676.04671153846,4.4,0.8,15.0,2.5
243,3.2_14.0_1.2_2.5_10.0,-13722.097615384615,3.2,1.2,14.0,2.5
244,3.6_12.5_1.1_2.3_10.0,-13682.606634615386,3.6,1.1,12.5,2.3
245,3.4_12.5_0.9_2.3_10.0,-13675.508884615385,3.4,0.9,12.5,2.3
246,4.2_13.5_1.3_2.3_10.0,-13688.952211538464,4.2,1.3,13.5,2.3
247,4.8_14.0_0.7_2.1_10.0,-13676.32126923077,4.8,0.7,14.0,2.1
248,4.0_9.5_1.2_2.2_10.0,-13714.3505,4.0,1.2,9.5,2.2
249,3.8_10.0_1.0_2.6_10.0,-13683.663826923079,3.8,1.0,10.0,2.6
250,4.6_16.5_0.6_2.4_10.0,-13691.26003846154,4.6,0.6,16.5,2.4
251,4.8_11.5_0.7_2.1_10.0,-13745.474538461536,4.8,0.7,11.5,2.1
252,3.6_9.5_0.5_2.4_10.0,-13708.911903846154,3.6,0.5,9.5,2.4
253,3.4_17.0_0.9_2.3_10.0,-13764.480134615384,3.4,0.9,17.0,2.3
254,4.2_16.0_1.3_2.3_10.0,-13717.302057692308,4.2,1.3,16.0,2.3
255,3.6_17.0_1.1_2.3_10.0,-13758.09226923077,3.6,1.1,17.0,2.3
256,4.6_13.0_0.6_2.4_10.0,-13684.170288461539,4.6,0.6,13.0,2.4
257,3.8_15.5_1.0_2.6_10.0,-13707.686173076925,3.8,1.0,15.5,2.6
258,4.8_11.5_0.8_2.6_10.0,-13737.004826923077,4.8,0.8,11.5,2.6
259,3.4_17.0_0.6_2.4_10.0,-13782.641461538462,3.4,0.6,17.0,2.4
260,4.4_13.0_1.1_2.3_10.0,-13670.176211538463,4.4,1.1,13.0,2.3
261,3.0_12.0_1.3_2.3_10.0,-13705.55878846154,3.0,1.3,12.0,2.3
262,4.6_13.0_0.9_2.3_10.0,-13670.314999999999,4.6,0.9,13.0,2.3
263,3.8_12.5_1.2_2.8_10.0,-13689.105019230767,3.8,1.2,12.5,2.8
264,3.4_12.5_0.6_2.4_10.0,-13683.44846153846,3.4,0.6,12.5,2.4
265,4.8_14.0_0.8_2.6_10.0,-13670.645653846153,4.8,0.8,14.0,2.6
266,3.2_9.5_1.3_2.3_10.0,-13679.27426923077,3.2,1.3,9.5,2.3
267,3.8_17.0_1.2_2.8_10.0,-13766.015269230767,3.8,1.2,17.0,2.8
268,3.0_17.5_1.3_2.3_10.0,-13829.311499999998,3.0,1.3,17.5,2.3
269,4.6_16.5_0.9_2.3_10.0,-13683.91298076923,4.6,0.9,16.5,2.3
270,4.8_9.0_0.5_2.5_10.0,-13868.35155769231,4.8,0.5,9.0,2.5
271,4.4_16.5_1.1_2.3_10.0,-13698.384557692307,4.4,1.1,16.5,2.3
272,3.8_15.0_1.1_2.5_10.0,-13704.53271153846,3.8,1.1,15.0,2.5
273,3.0_16.0_1.4_2.5_10.0,-13807.922134615386,3.0,1.4,16.0,2.5
274,3.0_13.5_1.2_1.8_10.0,-13711.438115384613,3.0,1.2,13.5,1.8
275,4.6_13.5_0.7_2.7_10.0,-13673.895961538463,4.6,0.7,13.5,2.7
276,4.6_12.5_0.8_1.8_10.0,-13682.690423076921,4.6,0.8,12.5,1.8
277,3.2_12.5_0.5_2.7_10.0,-13693.80948076923,3.2,0.5,12.5,2.7
278,4.4_12.5_1.0_1.8_10.0,-13669.305250000001,4.4,1.0,12.5,1.8
279,4.2_16.5_1.2_2.0_10.0,-13711.621249999998,4.2,1.2,16.5,2.0
280,3.4_10.5_0.5_2.9_10.0,-13683.922442307692,3.4,0.5,10.5,2.9
281,3.4_17.5_0.8_2.0_10.0,-13781.93732692308,3.4,0.8,17.5,2.0
282,4.2_10.5_1.0_1.6_10.0,-13704.35596153846,4.2,1.0,10.5,1.6
283,3.6_11.5_1.2_1.6_10.0,-13675.218076923078,3.6,1.2,11.5,1.6
284,4.0_11.5_0.7_2.9_10.0,-13678.79094230769,4.0,0.7,11.5,2.9
285,3.6_17.5_1.0_2.0_10.0,-13762.739999999998,3.6,1.0,17.5,2.0
286,4.0_10.5_0.8_1.6_10.0,-13697.070576923077,4.0,0.8,10.5,1.6
287,4.8_11.0_0.6_2.2_10.0,-13764.438076923077,4.8,0.6,11.0,2.2
288,3.2_17.0_0.5_2.7_10.0,-13811.37498076923,3.2,0.5,17.0,2.7
289,3.0_16.0_1.2_1.8_10.0,-13773.617057692307,3.0,1.2,16.0,1.8
290,3.0_13.5_1.4_2.5_10.0,-13746.381096153844,3.0,1.4,13.5,2.5
291,4.6_16.0_0.7_2.7_10.0,-13682.2625,4.6,0.7,16.0,2.7
292,3.8_10.5_1.1_2.5_10.0,-13673.511596153847,3.8,1.1,10.5,2.5
293,4.8_14.5_0.6_2.2_10.0,-13677.99923076923,4.8,0.6,14.5,2.2
294,4.0_9.0_1.3_2.1_10.0,-13728.846250000002,4.0,1.3,9.0,2.1
295,3.6_14.0_1.2_1.6_10.0,-13694.894596153843,3.6,1.2,14.0,1.6
